PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p030,FAGR,beech,0to2cm,1,0,1,0,0.0024,AB,1995,1,Core,279500,4868400,795,12.62,0.05,450,226,11.3935608301645,1995,2005,2015,10,10,L,NH.wood
p030,PIRU,"red spruce",0to2cm,1,0,0,1,0.0024,RS,1995,1,Core,279500,4868400,795,12.62,0.05,450,226,11.3935608301645,1995,2005,2015,10,10,L,NH.wood
p030,ACSA,"sugar maple",0to2cm,1,1,1,1,0.0024,SM,1995,1,Core,279500,4868400,795,12.62,0.05,450,226,11.3935608301645,1995,2005,2015,10,10,L,NH.wood
p030,ACPE,"striped maple",0to2cm,1,0,0,5,0.0024,STM,1995,1,Core,279500,4868400,795,12.62,0.05,450,226,11.3935608301645,1995,2005,2015,10,10,L,NH.wood
p031,FAGR,beech,0to2cm,1,1,1,0,0.0024,AB,1995,1,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p031,ABBA,"balsam fir",0to2cm,1,4,4,6,0.0024,BF,1995,1,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p031,ACSP,"mountain maple",0to2cm,1,1,1,0,0.0024,MM,1995,1,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p031,PIRU,"red spruce",0to2cm,1,5,9,2,0.0024,RS,1995,1,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p031,BEAL,"yellow birch",0to2cm,1,1,1,0,0.0024,YB,1995,1,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p032,FAGR,beech,0to2cm,1,0,2,1,0.0024,AB,1995,1,Core,279500,4868100,795,12.62,0.05,490,340,30.7852461386653,1995,2005,2015,10,10,L,NH.wood
p032,ACSA,"sugar maple",0to2cm,1,0,1,0,0.0024,SM,1995,1,Core,279500,4868100,795,12.62,0.05,490,340,30.7852461386653,1995,2005,2015,10,10,L,NH.wood
p032,ACPE,"striped maple",0to2cm,1,0,0,2,0.0024,STM,1995,1,Core,279500,4868100,795,12.62,0.05,490,340,30.7852461386653,1995,2005,2015,10,10,L,NH.wood
p033,FAGR,beech,0to2cm,1,3,3,2,0.0024,AB,1995,1,Core,279500,4867900,795,12.62,0.05,565,4,35.7395613211714,1995,2005,2015,10,10,L,NH.wood
p033,ACPE,"striped maple",0to2cm,1,0,0,1,0.0024,STM,1995,1,Core,279500,4867900,795,12.62,0.05,565,4,35.7395613211714,1995,2005,2015,10,10,L,NH.wood
p034,ACSP,"mountain maple",0to2cm,1,1,1,5,0.0024,MM,1995,1,Core,279500,4867800,795,12.62,0.05,600,25,28.1767498196148,1995,2005,2015,10,10,L,NH.high
p034,PIRU,"red spruce",0to2cm,1,0,5,0,0.0024,RS,1995,1,Core,279500,4867800,795,12.62,0.05,600,25,28.1767498196148,1995,2005,2015,10,10,L,NH.high
p034,ACSA,"sugar maple",0to2cm,1,0,0,6,0.0024,SM,1995,1,Core,279500,4867800,795,12.62,0.05,600,25,28.1767498196148,1995,2005,2015,10,10,L,NH.high
